# X, Y, 00:3a:98:2a:63:60, 00:3a:98:2a:63:61, 00:3a:98:2a:63:62, 00:3a:98:21:84:70, 00:19:be:1f:c6:30, 00:3a:98:21:84:72, 00:1f:1f:de:9f:20, 00:3a:98:21:84:71, 68:7f:74:11:39:96, 00:90:d0:e0:dd:5b
17.76568031311035, 3.9732582569122314, -66, -67, -68, -81, -96, -81, -110, -80, -87, -110
17.76568031311035, 3.9732582569122314, -66, -66, -65, -79, -95, -78, -110, -79, -87, -110
17.76568031311035, 3.9732582569122314, -68, -66, -66, -77, -95, -78, -110, -77, -89, -110
17.76568031311035, 3.9732582569122314, -66, -65, -66, -77, -94, -77, -110, -78, -110, -110
17.76568031311035, 3.9732582569122314, -70, -68, -69, -79, -94, -79, -110, -77, -110, -110
15.783690452575684, 0.8128035664558411, -67, -68, -68, -80, -110, -79, -110, -79, -90, -110
15.783690452575684, 0.8128035664558411, -66, -74, -66, -80, -110, -79, -110, -79, -90, -110
15.783690452575684, 0.8128035664558411, -66, -65, -63, -78, -110, -80, -110, -79, -89, -110
15.783690452575684, 0.8128035664558411, -68, -69, -69, -79, -110, -79, -110, -79, -89, -110
15.783690452575684, 0.8128035664558411, -65, -64, -64, -81, -110, -81, -110, -81, -110, -110
17.83087730407715, 0.9442934393882751, -61, -62, -63, -74, -110, -74, -90, -74, -86, -96
17.83087730407715, 0.9442934393882751, -59, -60, -60, -75, -110, -73, -94, -73, -87, -96
17.83087730407715, 0.9442934393882751, -60, -58, -60, -73, -110, -74, -92, -74, -87, -110
17.83087730407715, 0.9442934393882751, -63, -64, -63, -74, -110, -74, -95, -73, -85, -110
17.83087730407715, 0.9442934393882751, -57, -58, -57, -73, -110, -75, -91, -75, -85, -110
15.490680694580078, 4.13762092590332, -68, -68, -68, -79, -110, -80, -110, -80, -89, -110
15.490680694580078, 4.13762092590332, -69, -69, -69, -80, -110, -80, -110, -80, -89, -110
15.490680694580078, 4.13762092590332, -69, -68, -67, -80, -110, -80, -110, -80, -89, -110
15.490680694580078, 4.13762092590332, -68, -68, -68, -82, -110, -81, -110, -81, -89, -110
15.490680694580078, 4.13762092590332, -67, -67, -68, -80, -110, -87, -110, -87, -91, -110
