# X, Y, d4:d7:48:d8:2e:70, 00:0e:84:4b:0b:ad, 00:1f:6c:a8:e6:a2, 00:1f:6c:a8:e6:a1, 00:1f:6c:a8:e6:a0, 00:0e:84:4b:0a:f1, 00:0e:84:4b:0b:9f, 24:b6:57:b4:f6:20, 00:0e:84:4b:0b:c0, 00:3a:98:21:8d:12, 24:b6:57:7b:e8:a0, 00:3a:98:2a:5f:c2, 00:3a:98:2a:5f:c0, 00:0e:84:4b:0b:ec, 00:3a:98:2a:5f:c1, 00:0e:84:4b:0b:eb, 00:0e:84:4b:0c:05, 00:0e:84:4b:0b:aa, 00:16:b6:ee:00:7f, 00:0e:84:4b:0c:10, 00:0e:84:4b:0c:11, 00:0e:84:4b:0c:12, 00:3a:98:2a:59:81, 00:3a:98:2a:59:80, 00:3a:98:2a:59:82, 00:3a:98:2a:5c:50, 00:3a:98:2a:5c:52, 00:3a:98:2a:5c:51, 00:1f:6c:a9:1b:71, 00:0b:fd:4a:71:b2, 00:1f:6c:a9:1b:70, 00:0e:84:4b:0a:f8, 00:3a:98:2a:6b:22, 00:3a:98:2a:6b:21, 00:0b:fd:4a:71:b5, 00:3a:98:2a:6b:20, 00:3a:98:2a:54:20, 00:0e:84:4b:0c:0a, 00:0e:84:4b:0b:ff, 00:1f:6c:a9:1b:72, 00:3a:98:2a:59:c2, 00:3a:98:2a:54:21, 00:3a:98:2a:59:c1, 00:3a:98:2a:59:c0, 00:24:17:21:1a:95, d4:d7:48:d8:2b:00, 00:3a:98:2a:63:b0, 00:3a:98:2a:63:b2, 00:3a:98:2a:63:b1, d4:d7:48:d8:28:30, 00:0e:38:7a:37:77, 00:1b:11:6a:18:0f, 2c:3f:38:f7:fe:80, 00:0e:84:4b:0b:7c, d4:d7:48:b0:8f:40, 00:0e:84:4b:0c:0f, 2c:3f:38:f7:fe:81, 00:0b:fd:4a:71:ce, 00:0e:84:4b:0b:7f, 00:0e:84:4b:0b:02, 00:0b:fd:f3:ab:0b, 00:0e:38:7a:37:b2, 00:0e:84:4b:0b:05, d4:d7:48:d8:2c:70, 00:0b:fd:4a:71:a2, 00:0b:fd:f3:ab:56, 00:0e:84:4b:0b:86, d4:d7:48:b0:97:10, 00:1f:6c:a8:e5:81, 00:1f:6c:a8:e5:82, 00:0e:84:4b:0b:f6, 00:3a:98:36:01:32, 24:b6:57:7b:ee:d0, 00:3a:98:36:01:30, 00:3a:98:36:01:31, 24:b6:57:7b:e9:60, d4:d7:48:d8:28:b0, 00:0e:84:4b:0a:8f, d4:d7:48:d8:2f:a0, 00:0e:84:4b:0b:dc, 00:0e:84:4b:0b:a2, 00:3a:98:2a:5a:30, 00:3a:98:2a:5a:32, 00:3a:98:2a:5a:31, 00:0e:84:4b:0b:70, d4:d7:48:b0:95:f0, d4:d7:48:b0:8d:20, 00:0b:fd:4a:71:d6, 00:0e:84:4b:0b:e8
5.390422821044922, 13.878785133361816, -110, -105.2, -110, -110, -110, -110, -110, -73.9, -95.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -107.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -103.8, -110, -110, -110, -110, -110, -110, -110, -110, -89.4, -110, -110, -110, -110, -110, -90.7, -110, -110, -110, -110, -110, -110, -86.7, -110, -110, -77.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -86.4, -58.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -107, -110, -110, -102.1, -104.8, -110, -110, -110, -110, -110, -110, -110, -110, -110
72.8402328491211, 7.581112861633301, -89.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -88.4, -110, -110, -110, -110, -110, -110, -110, -109.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -87.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -92.4, -110
38.52967834472656, 36.17998504638672, -98.8, -109.2, -110, -110, -110, -110, -110, -107.8, -110, -110, -91.3, -110, -110, -90.1, -110, -110, -110, -110, -85.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -107.9, -110, -109.3, -110, -110, -110, -110, -110, -110, -110, -110, -108.6, -110, -110, -110, -110, -91.5, -105, -110, -110, -110, -107.9, -110, -110, -110, -110, -110, -110, -110, -92.7, -110, -110, -110, -110, -110, -106.8, -102.3, -110, -110, -101.7, -110, -110, -110, -110, -110, -110, -110, -53.7, -110, -110, -74.9, -110, -110, -110, -110, -110, -110, -110, -68.3, -95.6, -98.9
23.319122314453125, 10.289373397827148, -92.9, -110, -110, -110, -110, -110, -110, -104.4, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -81.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -81.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -92.1, -110, -110, -110, -110, -110, -110, -102.9, -110, -110, -92.6, -110, -110, -110, -110, -110, -107.6, -110, -110, -103.3, -102.2, -84.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -85.7, -110, -110, -96.4, -109.1, -110, -110, -110, -110, -110, -110, -110, -108.3, -110
18.285995483398438, 1.5765974521636963, -104.2, -103.4, -110, -110, -110, -110, -110, -103.5, -110, -109.3, -110, -110, -110, -110, -110, -110, -110, -110, -92.9, -110, -110, -110, -96.1, -101.7, -96.8, -110, -110, -110, -110, -86.9, -110, -110, -89.9, -88.9, -110, -89.9, -110, -110, -110, -110, -110, -110, -110, -110, -98.7, -110, -109.2, -106, -105.2, -110, -110, -110, -110, -110, -99.3, -110, -110, -110, -110, -110, -110, -110, -110, -104.5, -108.2, -87.2, -110, -110, -110, -110, -110, -106.1, -110, -108.3, -107.6, -92.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
40.528907775878906, 7.443174839019775, -82.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -101.1, -110, -110, -110, -110, -110, -110, -110, -60.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -108.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -95.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -95.1, -110, -110, -91.6, -110, -104.4, -110, -104.7, -110, -110, -110, -110, -110, -110, -110, -72.5, -107.2, -110, -107.6, -110, -110, -110, -110, -110, -110, -104.8, -104.2, -96.4, -110
38.48255157470703, 28.332075119018555, -93.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -108.4, -110, -110, -90, -110, -110, -110, -110, -80.7, -110, -110, -110, -110, -110, -110, -110, -110, -110, -107.8, -97.7, -108, -110, -110, -110, -110, -110, -110, -110, -110, -108.7, -110, -110, -110, -110, -89.2, -101.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -100.3, -110, -110, -98.8, -110, -110, -106.1, -108.3, -110, -110, -105.1, -110, -110, -110, -110, -110, -110, -110, -37, -110, -110, -73.8, -110, -110, -110, -110, -110, -110, -109.2, -88.6, -89.2, -105.2
3.820589542388916, 13.962111473083496, -110, -104.2, -110, -110, -110, -110, -110, -76.7, -107.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -107.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -104.2, -110, -110, -110, -110, -110, -110, -110, -110, -92.8, -110, -110, -110, -110, -110, -102.6, -110, -110, -110, -110, -110, -110, -86.2, -110, -110, -80.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -92.1, -63.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -107.8, -110, -110, -107.7, -97.6, -110, -110, -110, -110, -110, -110, -110, -110, -110
51.179996490478516, 1.1098932027816772, -86.6, -110, -110, -110, -110, -110, -110, -110, -109.1, -110, -108.4, -110, -110, -110, -110, -110, -110, -110, -67.4, -110, -110, -110, -110, -110, -110, -110, -110, -110, -108.7, -110, -110, -110, -107.6, -105, -110, -108.1, -110, -110, -110, -108.8, -110, -110, -110, -110, -108, -99.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -106.3, -110, -110, -96, -110, -110, -93.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -91.1, -110, -110, -104.6, -110, -110, -110, -110, -110, -110, -104.6, -105, -88.3, -110
53.18022155761719, 10.328185081481934, -71.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -91.9, -110, -110, -110, -110, -110, -110, -110, -84.7, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -106.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -100.9, -106.8, -110, -110, -110, -108.2, -110, -110, -110, -110, -110, -110, -110, -105.4, -110, -110, -88.2, -110, -110, -83.1, -110, -110, -110, -105.8, -110, -110, -110, -110, -110, -110, -110, -92.8, -103.4, -110, -105.7, -110, -110, -110, -110, -110, -110, -106.9, -109.2, -78.4, -110
