# Latitude, Longitude, 00:1f:9f:8a:81:e9, 00:24:17:34:42:f9, 00:0b:3b:73:4a:67, 00:1d:68:6c:bc:b1, 00:14:7f:b4:e9:b7, 00:24:17:21:08:b7, 00:24:17:32:4d:65, 74:ea:3a:b8:49:32
35.127137303352356, 33.3512145280838, -90, -78, -110, -92, -96, -82, -110, -110
35.127185583114624, 33.35091948509216, -90, -82, -110, -95, -110, -87, -94, -110
35.127185583114624, 33.35091948509216, -90, -81, -110, -95, -110, -90, -95, -110
35.127169489860535, 33.35093557834625, -89, -76, -110, -94, -95, -88, -110, -96
35.127169489860535, 33.35093557834625, -94, -81, -110, -94, -94, -85, -110, -95
35.127169489860535, 33.35093557834625, -88, -81, -110, -93, -93, -85, -110, -96
35.127169489860535, 33.35093557834625, -90, -81, -110, -93, -93, -84, -110, -110
35.127169489860535, 33.35093557834625, -90, -80, -110, -95, -110, -85, -110, -110
35.127169489860535, 33.35093557834625, -90, -79, -110, -93, -110, -85, -110, -110
35.127169489860535, 33.35093557834625, -88, -82, -110, -95, -110, -85, -110, -110
35.127169489860535, 33.35093557834625, -88, -80, -110, -94, -110, -84, -110, -110
35.127169489860535, 33.35093557834625, -88, -79, -110, -92, -110, -84, -110, -110
35.127169489860535, 33.35093557834625, -92, -83, -110, -95, -110, -84, -110, -110
35.127169489860535, 33.35093557834625, -110, -80, -110, -94, -110, -84, -110, -110
35.127169489860535, 33.35093557834625, -110, -83, -110, -95, -110, -88, -110, -110
35.127169489860535, 33.35093557834625, -110, -80, -110, -110, -110, -95, -110, -110
35.127169489860535, 33.35093557834625, -110, -74, -110, -110, -110, -94, -110, -110
35.127169489860535, 33.35093557834625, -110, -83, -110, -110, -110, -94, -110, -110
35.127169489860535, 33.35093557834625, -110, -82, -110, -110, -110, -93, -110, -110
35.127169489860535, 33.35093557834625, -110, -79, -110, -110, -110, -94, -110, -110
35.127169489860535, 33.35093557834625, -110, -85, -110, -110, -110, -110, -110, -110
35.127169489860535, 33.35093557834625, -110, -74, -110, -110, -110, -110, -110, -110
35.127158761024475, 33.35121989250183, -88, -77, -96, -92, -93, -84, -110, -110
35.127158761024475, 33.35121989250183, -91, -77, -97, -92, -93, -83, -110, -110
35.127158761024475, 33.35121989250183, -88, -78, -110, -95, -92, -84, -110, -110
35.127158761024475, 33.35121989250183, -89, -78, -110, -94, -91, -83, -110, -110
35.127158761024475, 33.35121989250183, -110, -78, -110, -94, -93, -83, -110, -110
35.127158761024475, 33.35121989250183, -110, -77, -110, -93, -93, -82, -110, -110
35.127158761024475, 33.35121989250183, -110, -77, -110, -94, -110, -84, -110, -110
35.127158761024475, 33.35121989250183, -110, -77, -110, -94, -110, -83, -110, -110
35.127158761024475, 33.35121989250183, -110, -77, -110, -94, -110, -83, -110, -110
35.127158761024475, 33.35121989250183, -110, -77, -110, -110, -110, -83, -110, -110
35.127158761024475, 33.35121989250183, -110, -76, -110, -110, -110, -82, -110, -110
35.127142667770386, 33.35123598575592, -89, -78, -98, -93, -92, -82, -110, -110
35.127142667770386, 33.35123598575592, -89, -77, -97, -95, -94, -83, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -94, -92, -84, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -93, -92, -83, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -93, -93, -82, -110, -110
35.127142667770386, 33.35123598575592, -110, -78, -110, -97, -94, -82, -110, -110
35.127142667770386, 33.35123598575592, -110, -78, -110, -94, -92, -84, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -94, -93, -81, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -94, -93, -82, -110, -110
35.127142667770386, 33.35123598575592, -110, -78, -110, -94, -110, -85, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -91, -110, -82, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -94, -110, -84, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -94, -110, -82, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -93, -110, -82, -110, -110
35.127142667770386, 33.35123598575592, -110, -78, -110, -95, -110, -83, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -93, -110, -83, -110, -110
35.127142667770386, 33.35123598575592, -110, -77, -110, -94, -110, -84, -110, -110
35.127435, 33.3512735, -110, -72, -110, -110, -110, -110, -110, -110
35.127435, 33.3512735, -110, -73, -110, -110, -110, -110, -110, -110
35.127435, 33.3512735, -110, -73, -110, -110, -110, -110, -110, -110
35.127435, 33.3512735, -110, -73, -110, -110, -110, -110, -110, -110
35.127435, 33.3512735, -110, -73, -110, -110, -110, -110, -110, -110
35.12720167636871, 33.3509087562561, -91, -74, -110, -94, -110, -89, -93, -110
35.12720167636871, 33.3509087562561, -110, -74, -110, -110, -110, -110, -110, -110
35.12720167636871, 33.3509087562561, -110, -74, -110, -110, -110, -110, -110, -110
35.12720167636871, 33.3509087562561, -110, -73, -110, -110, -110, -110, -110, -110
35.12720167636871, 33.3509087562561, -110, -74, -110, -110, -110, -110, -110, -110
35.12720167636871, 33.3509087562561, -110, -75, -110, -110, -110, -110, -110, -110
35.12720167636871, 33.3509087562561, -110, -79, -110, -110, -110, -110, -110, -110
35.12720167636871, 33.3509087562561, -110, -77, -110, -110, -110, -110, -110, -110
35.12720167636871, 33.3509087562561, -110, -81, -110, -110, -110, -110, -110, -110
35.127126574516296, 33.35123598575592, -91, -78, -110, -94, -110, -85, -110, -110
